dateStart,dateEnd,name,shopsAreOpen
17.08.2020,06.09.2020,Sommerferien,1
16.07.2020,16.07.2020,Ausflugstag,1
29.06.2020,03.07.2020,Bauernhof,1
02.04.2020,02.04.2020,Ausflugstag,1
12.03.2020,12.03.2020,Ausflugstag,1
13.02.2020,13.02.2020,Ausflugstag,1
23.01.2020,23.01.2020,Ausflugstag,1
# ---- feiertage 2020
01.01.2020,01.01.2020,Neujahr
06.01.2020,06.01.2020,Heilige Drei Könige
10.04.2020,10.04.2020,Karfreitag
13.04.2020,13.04.2020,Ostermontag
01.05.2020,01.05.2020,Tag der Arbeit
21.05.2020,21.05.2020,Christi Himmelfahrt
22.05.2020,22.05.2020,geschlossen wegen Brückentag
01.06.2020,01.06.2020,Pfingstmontag
11.06.2020,11.06.2020,Fronleichnam
12.06.2020,12.06.2020,geschlossen wegen Brückentag
25.12.2020,25.12.2020,1. Weihnachtstag
#---------------
24.12.2019,04.01.2020,Weihnachten,1
01.11.2019,01.11.2019,Allerheiligen,0
04.10.2019,04.10.2019,geschlossen wegen Brückentag,1
03.10.2019,03.10.2019,Tag der Deutschen Einheit,0
#--------------- Ende Schuljahr 2019
16.08.2019,06.09.2019,Sommerferien,1
15.08.2019,15.08.2019,Mariä Himmelfahrt
24.06.2019,28.06.2019,Bauernhof,1
21.06.2019,21.06.2019,geschlossen wegen Brückentag,1
20.06.2019,20.06.2019,Fronleichnam,0
10.06.2019,10.06.2019,Pfingstmontag,0
31.05.2019,31.05.2019,geschlossen wegen Brückentag,1
30.05.2019,30.05.2019,Christi Himmelfahrt,0
01.05.2019,01.05.2019,Tag der Arbeit,0
22.04.2019,22.04.2019,Ostermontag,0
19.04.2019,19.04.2019,Karfreitag,0
#---------------
24.12.2018,05.01.2019,Weihnachten,1
02.11.2018,02.11.2018,geschlossen wegen Brückentag,1
01.11.2018,01.11.2018,Allerheiligen,0
03.10.2018,03.10.2018,Tag der Deutschen Einheit,0

20.08.2018,07.09.2018,Sommerferien,1
15.08.2018,15.08.2018,Mariä Himmelfahrt,0
25.06.2018,29.06.2018,Bauernhof,1
01.06.2018,01.06.2018,geschlossen wegen Brückentag,1
31.05.2018,31.05.2018,Fronleichnam,0
21.05.2018,21.05.2018,Pfingstmontag,0
11.05.2018,11.05.2018,geschlossen wegen Brückentag,1
10.05.2018,10.05.2018,Christi Himmelfahrt,0
01.05.2018,01.05.2018,Tag der Arbeit,0
30.04.2018,30.04.2018,geschlossen wegen Brückentag,1
02.04.2018,02.04.2018,Ostermontag,0
30.03.2018,30.03.2018,Karfreitag,0

24.12.2017,05.01.2018,Weihnachten,1
01.11.2017,01.11.2017,Allerheiligen,0
31.10.2017,31.10.2017,Reformationstag,0
30.10.2017,30.10.2017,geschlossen wegen Brückentag,0
03.10.2017,03.10.2017,Tag der Deutschen Einheit,0
02.10.2017,02.10.2017,geschlossen wegen Brückentag,0
21.08.2017,09.09.2017,Sommerferien,1
15.08.2017,15.08.2017,Mariä Himmelfahrt,0
14.08.2017,14.08.2017,geschlossen wegen Brückentag,1
26.06.2017,30.06.2017,Bauernhof,1
16.06.2017,16.06.2017,geschlossen wegen Brückentag,1
15.06.2017,15.06.2017,Fronleichnam,0
05.06.2017,05.06.2017,Pfingstmontag,0
26.05.2017,26.05.2017,geschlossen wegen Brückentag,1
25.05.2017,25.05.2017,Christi Himmelfahrt,0
01.05.2017,01.05.2017,Tag der Arbeit,0
17.04.2017,17.04.2017,Ostermontag,0
14.04.2017,14.04.2017,Karfreitag,0
06.01.2017,06.01.2017,Heilige Drei Könige,0
01.01.2017,01.01.2017,Neujahr,0
